Date&Time,shortDate
2019-06-02T02:26:00Z,2019-06-02
2019-04-30T01:37:00Z,2019-04-30
2019-04-23T12:24:00Z,2019-04-23
2019-04-20T12:47:00Z,2019-04-20
2019-04-15T20:42:00Z,2019-04-15
2019-04-12T22:01:00Z,2019-04-12
2019-03-29T19:17:00Z,2019-03-29
2019-02-28T21:42:00Z,2019-02-28
2019-02-28T21:40:00Z,2019-02-28
2019-02-25T13:28:00Z,2019-02-25
2019-02-10T17:35:00Z,2019-02-10
2019-02-08T22:16:00Z,2019-02-08
2019-02-08T17:39:00Z,2019-02-08
2019-01-31T08:02:00Z,2019-01-31
2019-01-30T17:48:00Z,2019-01-30
2019-01-30T13:36:00Z,2019-01-30
2019-01-30T13:21:00Z,2019-01-30
2019-01-20T17:18:00Z,2019-01-20
2019-01-20T17:15:00Z,2019-01-20
2019-01-11T09:24:00Z,2019-01-11
2019-01-11T03:22:00Z,2019-01-11
2019-01-11T03:09:00Z,2019-01-11
2018-12-29T15:36:00Z,2018-12-29
2018-12-01T13:54:00Z,2018-12-01
2018-11-15T22:04:00Z,2018-11-15
2018-11-15T20:51:00Z,2018-11-15
2018-11-14T19:18:00Z,2018-11-14
2018-11-14T19:18:00Z,2018-11-14
2018-11-14T11:50:00Z,2018-11-14
2018-11-14T11:50:00Z,2018-11-14
2018-11-14T11:48:00Z,2018-11-14
2018-11-14T11:47:00Z,2018-11-14
2018-11-10T10:57:00Z,2018-11-10
2018-11-06T07:36:00Z,2018-11-06
2018-11-05T17:24:00Z,2018-11-05
2018-11-05T17:12:00Z,2018-11-05
2018-11-05T16:50:00Z,2018-11-05
2018-11-05T16:39:00Z,2018-11-05
2018-11-05T16:28:00Z,2018-11-05
2018-11-05T16:15:00Z,2018-11-05
2018-11-05T06:56:00Z,2018-11-05
2018-11-04T19:04:00Z,2018-11-04
2018-11-04T19:00:00Z,2018-11-04
2018-11-04T18:53:00Z,2018-11-04
2018-11-03T23:12:00Z,2018-11-03
2018-11-03T19:24:00Z,2018-11-03
2018-11-03T18:17:00Z,2018-11-03
2018-11-03T17:24:00Z,2018-11-03
2018-10-13T18:15:00Z,2018-10-13
2018-10-13T16:28:00Z,2018-10-13
2018-10-01T12:21:00Z,2018-10-01
2018-09-23T01:58:00Z,2018-09-23
2018-09-19T22:48:00Z,2018-09-19
2018-09-19T22:37:00Z,2018-09-19
2018-09-19T22:36:00Z,2018-09-19
2018-09-18T18:08:00Z,2018-09-18
2018-09-18T14:35:00Z,2018-09-18
2018-09-18T11:32:00Z,2018-09-18
2018-09-18T11:30:00Z,2018-09-18
2018-09-18T11:19:00Z,2018-09-18
2018-09-15T14:47:00Z,2018-09-15
2018-09-15T08:35:00Z,2018-09-15
2018-09-12T20:58:00Z,2018-09-12
2018-09-12T14:47:00Z,2018-09-12
2018-09-10T16:20:00Z,2018-09-10
2018-09-10T09:15:00Z,2018-09-10
2018-09-10T09:14:00Z,2018-09-10
2018-09-10T09:13:00Z,2018-09-10
2018-09-10T09:11:00Z,2018-09-10
2018-09-10T08:58:00Z,2018-09-10
2018-09-10T08:41:00Z,2018-09-10
2018-09-10T07:30:00Z,2018-09-10
2018-09-09T18:20:00Z,2018-09-09
2018-09-09T18:18:00Z,2018-09-09
2018-09-09T18:17:00Z,2018-09-09
2018-09-09T18:16:00Z,2018-09-09
2018-09-09T18:15:00Z,2018-09-09
2018-09-09T18:10:00Z,2018-09-09
2018-09-09T18:10:00Z,2018-09-09
2018-09-09T17:54:00Z,2018-09-09
2018-09-09T17:53:00Z,2018-09-09
2018-09-09T17:51:00Z,2018-09-09
2018-09-09T17:45:00Z,2018-09-09
