shortDate,Time,Benutzer,kleine Änderung,Kommentar,Größenänderung in Bytes,Größe in Bytes,ID,Date&Time
2019-06-02,02:26,Aka,k,→‎Literatur:  doppelte Leerzeichen entfernt,-1‎ ,77.498,188056880,2019-06-02T02:26:00Z
2019-04-30,01:37,Alazon,k,(Grammatik),+2‎ ,77.499,188056880,2019-04-30T01:37:00Z
2019-04-23,12:24,VC10,k,Leerzeichen vor Referenz entfernt,-2‎ ,77.497,187829147,2019-04-23T12:24:00Z
2019-04-20,12:47,Stenpierich,,→‎Sozialwissenschaft,+941‎ ,77.499,187732082,2019-04-20T12:47:00Z
2019-04-15,20:42,Justus Nussbaum,,ergänzt,+146‎ ,76.558,187598541,2019-04-15T20:42:00Z
2019-04-12,22:01,Sprachpfleger,k,→‎Linkspopulismus:  Adjektiv kleingeschrieben. <http://canoo.net/inflection/alt:A>.,-2‎ ,76.412,187512084,2019-04-12T22:01:00Z
2019-03-29,19:17,Patricia V. Winkler,,Literatur,+274‎ ,76.414,187057894,2019-03-29T19:17:00Z
2019-02-28,21:42,RoBri,k,Revert: Grund: keine Verbesserung des Artikels,+263‎ ,76.14,186131494,2019-02-28T21:42:00Z
2019-02-28,21:40,91.67.192.219,,Inhalt entfernt. Der Begriff wird ins negative gezogen. Anscheinend um Pro Volk ins negative zu ziehen.,-263‎ ,75.877,186131458,2019-02-28T21:40:00Z
2019-02-25,13:28,Albatross4344,k,→‎Sozialwissenschaft,+4‎ ,76.14,186018865,2019-02-25T13:28:00Z
2019-02-10,17:35,Mogelzahn,k,→‎Rechtspopulismus:  lf,-51‎ ,76.136,185557891,2019-02-10T17:35:00Z
2019-02-08,22:16,Aka,k,→‎Erscheinungsformen im 20. Jahrhundert:  zu großen Zeilenabstand entfernt,-1‎ ,76.187,185507321,2019-02-08T22:16:00Z
2019-02-08,17:39,Sitacu,,→‎Erscheinungsformen im 20. Jahrhundert,+537‎ ,76.188,185499164,2019-02-08T17:39:00Z
2019-01-31,08:02,Ot,,→‎Ursprung:  typo + entfettet,-13‎ ,75.651,185244518,2019-01-31T08:02:00Z
2019-01-30,17:48,Sitacu,,→‎Ursprung:   PP in USA 1891 - 1908,+629‎ ,75.664,185226400,2019-01-30T17:48:00Z
2019-01-30,13:36,Exx2,k,→‎Ursprung:  wikilink,+20‎ ,75.035,185219669,2019-01-30T13:36:00Z
2019-01-30,13:21,Exx2,,"→‎Begriff:  Absatz ""Ursprung"" eingefügt",+1.212‎ ,75.015,185219224,2019-01-30T13:21:00Z
2019-01-20,17:18,Horst Gräbner,,82.149.101.117 wurde verworfen; vorher richtig,0‎ ,73.803,184903719,2019-01-20T17:18:00Z
2019-01-20,17:15,82.149.101.117,,→‎Umgangssprache,0‎ ,73.803,184903637,2019-01-20T17:15:00Z
2019-01-11,09:24,Barnos,k,79.239.102.150 rückgängig gemacht; fehlerhafte Kommasetzung,-4‎ ,73.803,184611087,2019-01-11T09:24:00Z
2019-01-11,03:22,79.239.102.150,,→‎Gewichtsverschiebungen im demokratischen Institutionengefüge,+4‎ ,73.807,184607502,2019-01-11T03:22:00Z
2019-01-11,03:09,79.239.102.150,,→‎Erscheinungsformen im 20. Jahrhundert,+2‎ ,73.803,184607411,2019-01-11T03:09:00Z
2018-12-29,15:36,Neun-x,,→‎Literatur:  +1,+104‎ ,73.801,184173807,2018-12-29T15:36:00Z
2018-12-01,13:54,InternetArchiveBot,,"InternetArchiveBot hat 1 Archivlink(s) ergänzt und 0 Link(s) als defekt/tot markiert. #IABot (v2.0beta10ehf1) (<a href=""/wiki/Benutzer:Cirdan"" title=""Benutzer:Cirdan"">Cirdan)",+98‎ ,73.697,183289634,2018-12-01T13:54:00Z
2018-11-15,22:04,Phi,,91.34.34.113 wurde verworfen und die Version 182754073 von Rmcharb wiederhergestellt.,-36‎ ,73.599,182786977,2018-11-15T22:04:00Z
2018-11-15,20:51,91.34.34.113,,→‎Politische Gegenmittel,+36‎ ,73.635,182785100,2018-11-15T20:51:00Z
2018-11-14,19:18,Rmcharb,k,"109.192.125.123 (<a href=""/w/index.php?title=Benutzer_Diskussion:109.192.125.123&amp;action=edit&amp;redlink=1"" class=""new"" title=""Benutzer Diskussion:109.192.125.123 (Seite nicht vorhanden)"">Diskussion) auf die letzte Version von <a href=""/wiki/Benutzer:Harry8"" title=""Benutzer:Harry8"">Harry8 zurückgesetzt",+501‎ ,73.599,182754073,2018-11-14T19:18:00Z
2018-11-14,19:18,109.192.125.123,,,-501‎ ,73.098,182754051,2018-11-14T19:18:00Z
2018-11-14,11:50,Harry8,k,"193.16.195.243 (<a href=""/wiki/Benutzer_Diskussion:193.16.195.243"" title=""Benutzer Diskussion:193.16.195.243"">Diskussion) auf die letzte Version von <a href=""/w/index.php?title=Benutzer:Frozen_Hippopotamus&amp;action=edit&amp;redlink=1"" class=""new"" title=""Benutzer:Frozen Hippopotamus (Seite nicht vorhanden)"">Frozen Hippopotamus zurückgesetzt",-2‎ ,73.599,182741248,2018-11-14T11:50:00Z
2018-11-14,11:50,193.16.195.243,,→‎Begriff,+2‎ ,73.601,182741238,2018-11-14T11:50:00Z
2018-11-14,11:48,Frozen Hippopotamus,k,"193.16.195.243 (<a href=""/wiki/Benutzer_Diskussion:193.16.195.243"" title=""Benutzer Diskussion:193.16.195.243"">Diskussion) auf die letzte Version von <a href=""/wiki/Benutzer:G%C3%BCnniX"" title=""Benutzer:GünniX"">GünniX zurückgesetzt",-3‎ ,73.599,182741176,2018-11-14T11:48:00Z
2018-11-14,11:47,193.16.195.243,,→‎Begriff,+3‎ ,73.602,182741137,2018-11-14T11:47:00Z
2018-11-10,10:57,GünniX,k,Klammern korrigiert,-1‎ ,73.599,182619733,2018-11-10T10:57:00Z
2018-11-06,07:36,Ot,,→‎Rechtspopulismus:  link,+4‎ ,73.6,182500165,2018-11-06T07:36:00Z
2018-11-05,17:24,Barnos,k,→‎Strategische Aspekte von Populismus und Populismuskritik:  Provokation und  Bruch von Tabus als Kern des Rechtspopulismus,+562‎ ,73.596,182482848,2018-11-05T17:24:00Z
2018-11-05,17:12,Barnos,,→‎Rechtspopulismus:  völkischer Nationalismus im Gewand eines populistisch-illiberalen Demokratiekonzepts,+873‎ ,73.034,182482475,2018-11-05T17:12:00Z
2018-11-05,16:50,Barnos,k,Abschnitt „Populismus und Medien“ ebenfalls an passendere Stelle im Gliederungszusammenhang verschoben,0‎ ,72.161,182481824,2018-11-05T16:50:00Z
2018-11-05,16:39,Barnos,,Abschnitt „Strategische Aspekte von Populismus und Populismuskritik“ inhaltlich durchgesehen und in den Gliederungskontext passender eingeordnet,-137‎ ,72.161,182481540,2018-11-05T16:39:00Z
2018-11-05,16:28,Barnos,,"Abschnitt „Geschichte des Populismus“ untergliedert und durchgesehen, Unterabschnitt „Modernisierungsbewegung oder antimoderne Reaktion?“ an passender Stelle redundanzmindernd integriert",-212‎ ,72.298,182481246,2018-11-05T16:28:00Z
2018-11-05,16:15,Barnos,,"Abschnitte „Argumentationsstrukturen“, „Populismus und Medien“ sowie „Richtungen des Populismus“ sprachlich und inhaltlich durchgesehen und partiell gestrafft",-798‎ ,72.51,182480918,2018-11-05T16:15:00Z
2018-11-05,06:56,Ot,,→‎Politische Gegenmittel:  -bkl + link,+43‎ ,73.308,182469309,2018-11-05T06:56:00Z
2018-11-04,19:04,Barnos,,"→‎Politische Gegenmittel:  + „zweigleisiger Antipopulismus“ nach <a href=""/wiki/Wolfgang_Merkel"" title=""Wolfgang Merkel"">Wolfgang Merkel und Robert Vehrkamp",+1.211‎ ,73.265,182454724,2018-11-04T19:04:00Z
2018-11-04,19:00,Barnos,k,→‎Gewichtsverschiebungen im demokratischen Institutionengefüge:  + Seitenangabe,+6‎ ,72.054,182454633,2018-11-04T19:00:00Z
2018-11-04,18:53,Barnos,,Abschnitte Begriff und Geschichte des Populismus sprachlich durchgesehen und z. T. redundanzmindernd gestrafft,-837‎ ,72.048,182454440,2018-11-04T18:53:00Z
2018-11-03,23:12,Aka,k,Tippfehler entfernt,-4‎ ,72.885,182430325,2018-11-03T23:12:00Z
2018-11-03,19:24,Barnos,,"→‎Einleitung:  Inhalte teils sprachlich vereinfacht und redundanzmindernd gestrafft, teils den Artikelgehalten gemäß erweitert und passend geordnet",+347‎ ,72.889,182424308,2018-11-03T19:24:00Z
2018-11-03,18:17,Sitacu,,→‎Gewichtsverschiebungen im demokratischen Institutionengefüge:  bkl,+39‎ ,72.542,182422309,2018-11-03T18:17:00Z
2018-11-03,17:24,Barnos,,Erweiterung hinsichtlich der Ursachendarstellung und der politischen Gegenmittel,+4.235‎ ,72.503,182420854,2018-11-03T17:24:00Z
2018-10-13,18:15,Phi,,KhFhk 37&amp;!9 wurde verworfen und die Version 181393003 von Janlo wiederhergestellt.,-4‎ ,68.268,181757183,2018-10-13T18:15:00Z
2018-10-13,16:28,KhFhk 37&amp;!9,,Links hinzugefügt,+4‎ ,68.272,181754451,2018-10-13T16:28:00Z
2018-10-01,12:21,Janlo,,"Die Bezeichnung von Parteien als Verfassungsorganen ist zumindest stark umstritten. Falls es sich um Verfassungsorgane handelt, würde dies für alle Parteien und nicht nur traditionelle gelten. Der alte Text war da missverständlich.",-8‎ ,68.268,181393003,2018-10-01T12:21:00Z
2018-09-23,01:58,Über-Blick,,"Logik, Rationalität, Analyse, Kritik und Reflexion verachtendende, mystisch, überhöhende, pauschlisierende Forumlierung geändert",+23‎ ,68.276,181143183,2018-09-23T01:58:00Z
2018-09-19,22:48,Phi,,revert:  WP:LIT#Auswahl,-109‎ ,68.253,181050182,2018-09-19T22:48:00Z
2018-09-19,22:37,Consbuonomo,,→‎Literatur,-6‎ ,68.362,181049813,2018-09-19T22:37:00Z
2018-09-19,22:36,Consbuonomo,,→‎Literatur,+115‎ ,68.368,181049798,2018-09-19T22:36:00Z
2018-09-18,18:08,Hnsjrgnweis,,→‎Populismus und Medien,+619‎ ,68.253,181016681,2018-09-18T18:08:00Z
2018-09-18,14:35,Sitacu,k,→‎Weitere,-1‎ ,67.634,181011737,2018-09-18T14:35:00Z
2018-09-18,11:32,Hnsjrgnweis,,→‎Weitere,0‎ ,67.635,181007378,2018-09-18T11:32:00Z
2018-09-18,11:30,Hnsjrgnweis,,→‎Weitere,+885‎ ,67.635,181007358,2018-09-18T11:30:00Z
2018-09-18,11:19,Hnsjrgnweis,,→‎Weitere,+202‎ ,66.75,181007112,2018-09-18T11:19:00Z
2018-09-15,14:47,Dk1909,k,Auszeichnungsfehler korrigiert,-1‎ ,66.548,180927437,2018-09-15T14:47:00Z
2018-09-15,08:35,GünniX,k,Klammern korrigiert,-1‎ ,66.549,180918764,2018-09-15T08:35:00Z
2018-09-12,20:58,Aka,k,→‎Weitere:  Tippfehler entfernt,+1‎ ,66.55,180856769,2018-09-12T20:58:00Z
2018-09-12,14:47,Atirador,k,→‎Populismus und Populismuskritik als Strategie:  typo,+1‎ ,66.549,180848647,2018-09-12T14:47:00Z
2018-09-10,16:20,Aka,k,→‎Geschichte des Populismus:  doppelten Link entfernt,-4‎ ,66.548,180798433,2018-09-10T16:20:00Z
2018-09-10,09:15,Hnsjrgnweis,,→‎Geschichte des Populismus,0‎ ,66.552,180788768,2018-09-10T09:15:00Z
2018-09-10,09:14,Hnsjrgnweis,,→‎Geschichte des Populismus,-18‎ ,66.552,180788757,2018-09-10T09:14:00Z
2018-09-10,09:13,Hnsjrgnweis,,,-3‎ ,66.57,180788738,2018-09-10T09:13:00Z
